Activity standard occupational classification,Mode of employment,Sex,Contract marker,Nationality,Academic Year,Number
Professional occupations,Part-time,Other,Academic (excluding atypical),Non-European Union,2018/19,0
Professional occupations,Part-time,Other,Academic (excluding atypical),Non-European Union,2019/20,15
Professional occupations,Part-time,Other,Academic (excluding atypical),Non-European Union,2020/21,20
Professional occupations,Full-time,Female,Academic (excluding atypical),Not known,2016/17,400
Professional occupations,Full-time,Female,Academic (excluding atypical),Not known,2017/18,335
Professional occupations,Full-time,Female,Academic (excluding atypical),Not known,2018/19,365
Professional occupations,Full-time,Female,Academic (excluding atypical),Not known,2019/20,400
Professional occupations,Full-time,Female,Academic (excluding atypical),Not known,2020/21,450
Professional occupations,Part-time,Female,Academic (excluding atypical),Not known,2016/17,490
Professional occupations,Part-time,Female,Academic (excluding atypical),Not known,2017/18,400
Professional occupations,Part-time,Female,Academic (excluding atypical),Not known,2018/19,305
Professional occupations,Part-time,Female,Academic (excluding atypical),Not known,2019/20,300
Professional occupations,Part-time,Female,Academic (excluding atypical),Not known,2020/21,295
Professional occupations,Full-time,Male,Academic (excluding atypical),Not known,2016/17,580
Professional occupations,Full-time,Male,Academic (excluding atypical),Not known,2017/18,415
Professional occupations,Full-time,Male,Academic (excluding atypical),Not known,2018/19,445
Professional occupations,Full-time,Male,Academic (excluding atypical),Not known,2019/20,510
Professional occupations,Full-time,Male,Academic (excluding atypical),Not known,2020/21,535
Professional occupations,Part-time,Male,Academic (excluding atypical),Not known,2016/17,470
Professional occupations,Part-time,Male,Academic (excluding atypical),Not known,2017/18,385
Professional occupations,Part-time,Male,Academic (excluding atypical),Not known,2018/19,315
Professional occupations,Part-time,Male,Academic (excluding atypical),Not known,2019/20,315
Professional occupations,Part-time,Male,Academic (excluding atypical),Not known,2020/21,315
Professional occupations,Full-time,Other,Academic (excluding atypical),Not known,2016/17,0
Professional occupations,Full-time,Other,Academic (excluding atypical),Not known,2017/18,0
Professional occupations,Full-time,Other,Academic (excluding atypical),Not known,2018/19,0
Professional occupations,Full-time,Other,Academic (excluding atypical),Not known,2019/20,5
Professional occupations,Full-time,Other,Academic (excluding atypical),Not known,2020/21,0
Professional occupations,Part-time,Other,Academic (excluding atypical),Not known,2016/17,0
Professional occupations,Part-time,Other,Academic (excluding atypical),Not known,2017/18,0
Professional occupations,Part-time,Other,Academic (excluding atypical),Not known,2018/19,0
Professional occupations,Part-time,Other,Academic (excluding atypical),Not known,2019/20,50
Professional occupations,Part-time,Other,Academic (excluding atypical),Not known,2020/21,30
Professional occupations,Full-time,Female,Academic (excluding atypical),UK,2016/17,35760
Professional occupations,Full-time,Female,Academic (excluding atypical),UK,2017/18,36415
Professional occupations,Full-time,Female,Academic (excluding atypical),UK,2018/19,37305
Professional occupations,Full-time,Female,Academic (excluding atypical),UK,2019/20,38410
Professional occupations,Full-time,Female,Academic (excluding atypical),UK,2020/21,39515
Professional occupations,Part-time,Female,Academic (excluding atypical),UK,2016/17,29095
Professional occupations,Part-time,Female,Academic (excluding atypical),UK,2017/18,29905
Professional occupations,Part-time,Female,Academic (excluding atypical),UK,2018/19,30880
Professional occupations,Part-time,Female,Academic (excluding atypical),UK,2019/20,32275
Professional occupations,Part-time,Female,Academic (excluding atypical),UK,2020/21,31650
Professional occupations,Full-time,Male,Academic (excluding atypical),UK,2016/17,53045
Professional occupations,Full-time,Male,Academic (excluding atypical),UK,2017/18,53250
Professional occupations,Full-time,Male,Academic (excluding atypical),UK,2018/19,53210
Professional occupations,Full-time,Male,Academic (excluding atypical),UK,2019/20,53650
Professional occupations,Full-time,Male,Academic (excluding atypical),UK,2020/21,53555
Professional occupations,Part-time,Male,Academic (excluding atypical),UK,2016/17,23490
Professional occupations,Part-time,Male,Academic (excluding atypical),UK,2017/18,24230
Professional occupations,Part-time,Male,Academic (excluding atypical),UK,2018/19,24795
Professional occupations,Part-time,Male,Academic (excluding atypical),UK,2019/20,25500
Professional occupations,Part-time,Male,Academic (excluding atypical),UK,2020/21,24695
Professional occupations,Full-time,Other,Academic (excluding atypical),UK,2016/17,0
Professional occupations,Full-time,Other,Academic (excluding atypical),UK,2017/18,20
Professional occupations,Full-time,Other,Academic (excluding atypical),UK,2018/19,25
Professional occupations,Full-time,Other,Academic (excluding atypical),UK,2019/20,110
Professional occupations,Full-time,Other,Academic (excluding atypical),UK,2020/21,130
Professional occupations,Part-time,Other,Academic (excluding atypical),UK,2016/17,0
Professional occupations,Part-time,Other,Academic (excluding atypical),UK,2017/18,0
Professional occupations,Part-time,Other,Academic (excluding atypical),UK,2018/19,10
Professional occupations,Part-time,Other,Academic (excluding atypical),UK,2019/20,85
Professional occupations,Part-time,Other,Academic (excluding atypical),UK,2020/21,80
Professional occupations,Full-time,Female,Academic (excluding atypical),All,2016/17,55730
Professional occupations,Full-time,Female,Academic (excluding atypical),All,2017/18,57225
Professional occupations,Full-time,Female,Academic (excluding atypical),All,2018/19,59020
Professional occupations,Full-time,Female,Academic (excluding atypical),All,2019/20,61040
Professional occupations,Full-time,Female,Academic (excluding atypical),All,2020/21,62755
Professional occupations,Part-time,Female,Academic (excluding atypical),All,2016/17,37760
Professional occupations,Part-time,Female,Academic (excluding atypical),All,2017/18,39085
Professional occupations,Part-time,Female,Academic (excluding atypical),All,2018/19,40445
Professional occupations,Part-time,Female,Academic (excluding atypical),All,2019/20,42345
Professional occupations,Part-time,Female,Academic (excluding atypical),All,2020/21,41745
Professional occupations,Full-time,Male,Academic (excluding atypical),All,2016/17,81020
Professional occupations,Full-time,Male,Academic (excluding atypical),All,2017/18,81975
Professional occupations,Full-time,Male,Academic (excluding atypical),All,2018/19,82940
Professional occupations,Full-time,Male,Academic (excluding atypical),All,2019/20,84100
Professional occupations,Full-time,Male,Academic (excluding atypical),All,2020/21,84585
Professional occupations,Part-time,Male,Academic (excluding atypical),All,2016/17,30145
Professional occupations,Part-time,Male,Academic (excluding atypical),All,2017/18,31680
Professional occupations,Part-time,Male,Academic (excluding atypical),All,2018/19,32595
Professional occupations,Part-time,Male,Academic (excluding atypical),All,2019/20,33705
Professional occupations,Part-time,Male,Academic (excluding atypical),All,2020/21,33015
Professional occupations,Full-time,Other,Academic (excluding atypical),All,2016/17,0
Professional occupations,Full-time,Other,Academic (excluding atypical),All,2017/18,30
Professional occupations,Full-time,Other,Academic (excluding atypical),All,2018/19,45
Professional occupations,Full-time,Other,Academic (excluding atypical),All,2019/20,180
Professional occupations,Full-time,Other,Academic (excluding atypical),All,2020/21,220
Professional occupations,Part-time,Other,Academic (excluding atypical),All,2016/17,0
Professional occupations,Part-time,Other,Academic (excluding atypical),All,2017/18,0
Professional occupations,Part-time,Other,Academic (excluding atypical),All,2018/19,15
Professional occupations,Part-time,Other,Academic (excluding atypical),All,2019/20,175
Professional occupations,Part-time,Other,Academic (excluding atypical),All,2020/21,170
Professional occupations,Full-time,All,Academic (excluding atypical),All,2016/17,136750
Professional occupations,Full-time,All,Academic (excluding atypical),All,2017/18,139230
Professional occupations,Full-time,All,Academic (excluding atypical),All,2018/19,142005
Professional occupations,Full-time,All,Academic (excluding atypical),All,2019/20,145320
Professional occupations,Full-time,All,Academic (excluding atypical),All,2020/21,147555
Professional occupations,Full-time,All,Academic (excluding atypical),European Union,2016/17,27000
